Ballots Issued to Voters,Ballots Cast,County,% counted,Ballots Counted,Ballots Remaining
11269,9299,NORTHUMBERLAND,0.9824,9135,164
5708,4930,MIFFLIN,0.8696,4287,643
1924,1594,POTTER,0.973,1551,43
7470,6435,VENANGO,0.9994,6431,4
84274,74139,NORTHAMPTON,0.9756,72330,1809
43151,37216,WASHINGTON,0.9735,36229,987
4609,3863,ELK,0.9697,3746,117
19461,15059,MERCER,0.8704,13108,1951
1538,1254,FULTON,0.9641,1209,45
27228,22331,LEBANON,0.9955,22231,100
11107,9357,CARBON,0.9822,9190,167
4883,4149,CLARION,0.9754,4047,102
57405,49660,ERIE,0.9781,48573,1087
5464,4594,TIOGA,0.9826,4514,80
433887,358644,PHILADELPHIA,0.8365,300002,58642
36012,33024,CENTRE,0.9656,31888,1136
38651,33100,MONROE,0.9778,32365,735
6577,5457,WARREN,0.9335,5094,363
6529,5620,SUSQUEHANNA,0.9806,5511,109
24382,21143,FRANKLIN,0.9755,20624,519
800,722,CAMERON,1,722,0
276556,242888,MONTGOMERY,0.9885,240086,2802
6770,5713,PERRY,0.9001,5142,571
4729,4125,WYOMING,0.9852,4064,61
21151,17879,CAMBRIA,0.972,17378,501
5148,4297,CLINTON,0.9946,4274,23
197920,163513,BUCKS,0.9407,153812,9701
2776,2375,JUNIATA,1.0008,2377,-2
153717,128153,DELAWARE,0.9713,124478,3675
9284,8318,SOMERSET,0.9305,7740,578
946,836,SULLIVAN,0.9677,809,27
8751,7084,ARMSTRONG,0.677,4796,2288
850,740,FOREST,0.9757,722,18
5146,4355,JEFFERSON,0.9674,4213,142
9962,8906,WAYNE,0.9887,8805,101
170763,149849,CHESTER,0.9839,147433,2416
9272,8579,CLEARFIELD,0.9825,8429,150
16166,12678,LAWRENCE,0.9438,11965,713
9912,8490,COLUMBIA,0.9767,8292,198
22469,15972,FAYETTE,0.9502,15177,795
75667,60269,WESTMORELAND,0.9332,56246,4023
407249,349656,ALLEGHENY,0.8954,313072,36584
88674,77763,LEHIGH,0.8771,68204,9559
35176,29670,BEAVER,0.9804,29089,581
107957,91280,LANCASTER,0.9881,90198,1082
59213,53165,CUMBERLAND,0.977,51942,1223
8160,6590,BRADFORD,0.9276,6113,477
64958,55092,DAUPHIN,0.9851,54273,819
5090,4383,GREENE,0.5227,2291,2092
20121,16398,SCHUYLKILL,0.978,16038,360
71218,57084,LUZERNE,0.9761,55718,1366
15718,13016,LYCOMING,0.9704,12631,385
49400,42355,LACKAWANNA,0.9759,41334,1021
82197,66682,BERKS,0.9731,64885,1797
12852,10923,CRAWFORD,0.581,6346,4577
90813,77118,YORK,0.9753,75210,1908
6695,5630,BEDFORD,0.9995,5627,3
38808,33029,BUTLER,0.9795,32353,676
15324,13384,PIKE,0.9963,13334,50
4888,4085,MCKEAN,0.9633,3935,150
21062,18981,ADAMS,0.9887,18766,215
20414,17238,BLAIR,0.9644,16625,613
12604,10681,INDIANA,1.0012,10694,-13
5013,4477,SNYDER,0.9685,4336,141
3645,3307,MONTOUR,0.9849,3257,50
6886,6130,UNION,0.9737,5969,161
5162,4616,HUNTINGDON,0.9913,4576,40
